,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
0,5d_30n_gaussiandist_8629962609014092371seed_22,82.7526807610935,0.9369209331880336,88.3240813923469,0.0
1,6d_25n_gaussiandist_2373602047824278441seed_7,74.56012854619512,0.9494711947403712,78.5280574694878,0.0
2,6d_26n_gaussiandist_1126081909295565354seed_5,73.80148354367816,0.9283249145955044,79.49962602892697,0.0
3,7d_14n_gaussiandist_4638311899570867066seed_21,38.4720013747746,0.904895148142368,42.515424525982496,0.0
4,7d_16n_gaussiandist_5190952847042786017seed_16,43.58039433282522,0.9149768451208348,47.63005158569871,0.0
5,7d_16n_gaussiandist_3984846803518855627seed_21,44.49847953127431,0.9142057946877596,48.67446672274971,0.0
6,7d_20n_gaussiandist_619532954381144437seed_19,58.670692365590085,0.9259688478498288,63.3614105937019,0.0
7,7d_20n_gaussiandist_7175258013925733298seed_24,59.71500449678582,0.9448988861716184,63.19724297562565,0.0
8,7d_24n_gaussiandist_1740951551245432308seed_12,72.4466377519888,0.9395869557382092,77.10477173990708,0.0
9,7d_26n_gaussiandist_3364823185911219558seed_0,77.81460931303428,0.9265073439300652,83.98703995476144,0.0
10,7d_26n_gaussiandist_7826658319304779113seed_21,74.98911885117107,0.9024268746612284,83.09716937377561,0.0
11,7d_30n_gaussiandist_568851980155292724seed_6,87.29703378241965,0.9464616856830323,92.2351481343062,0.0
12,7d_30n_gaussiandist_9218213151713655812seed_10,93.24007852418372,0.9495546063819827,98.193487659914,0.0
13,8d_14n_gaussiandist_4023493618640011478seed_3,46.71623846193855,0.9440278518494803,49.48608070240196,0.0
14,8d_14n_gaussiandist_5956141695417420881seed_22,47.58365025141936,0.8972325378806221,53.03379920195274,0.0
15,8d_16n_gaussiandist_8489308228237433231seed_8,52.00393833333361,0.9346507572088036,55.63996811882514,0.0
16,8d_19n_gaussiandist_2264096140220915647seed_0,60.84842725036206,0.9028195988787228,67.39821258414652,0.0
17,8d_20n_gaussiandist_8872600570093397638seed_4,66.4430305468139,0.9488588343971563,70.02414704715008,0.0
18,8d_20n_gaussiandist_4451124010458323935seed_9,55.52839307443158,0.8908188957261952,62.33409881720667,0.0
19,8d_20n_gaussiandist_4092542881071716seed_12,67.47541869329095,0.90440141009931,74.60782119510588,0.0
20,8d_21n_gaussiandist_2038960906759151272seed_0,75.36867627127016,0.9153637984334247,82.33740115160539,0.0
21,8d_24n_gaussiandist_7371034346179524966seed_7,86.02426632921468,0.937750291715474,91.734726279686,0.0
22,8d_25n_gaussiandist_7894132605168536941seed_0,76.24204063271465,0.9485285361898758,80.37927982532786,0.0
23,8d_25n_gaussiandist_1008093562118062076seed_5,82.83804078767682,0.9294105178535876,89.12965712824708,0.0
24,8d_28n_gaussiandist_3148267130326085926seed_23,85.08821047251907,0.9395018843175056,90.5673654229345,0.0
25,8d_30n_gaussiandist_4186067218804335420seed_22,93.34067878503512,0.9308780809616282,100.27164748428824,0.0
26,9d_14n_gaussiandist_610970793617572870seed_16,39.520789107708254,0.8748816048243795,45.17272838950764,0.0
27,9d_20n_gaussiandist_4443235282525831861seed_17,61.08749546107681,0.9187301582180428,66.49122695565075,0.0
28,9d_26n_gaussiandist_3358500883987028790seed_15,90.73957954175344,0.9099039379097364,99.72435084763302,0.0
29,9d_28n_gaussiandist_3639009937359364799seed_16,103.149746984376,0.9433653735836648,109.34230773441452,0.0
30,9d_28n_gaussiandist_4219529328806926761seed_20,99.88810101654848,0.9449529576275916,105.70695632016285,0.0
31,9d_30n_gaussiandist_5164609296641316394seed_2,110.55841446981076,0.9407775341231708,117.51812778230732,0.0
32,10d_15n_gaussiandist_6994844030777267454seed_23,44.79223653567179,0.878457896099468,50.98962253576232,0.0
33,10d_16n_gaussiandist_3238957227471767889seed_23,61.18460767967025,0.9035850548506518,67.71316917120004,0.0
34,10d_18n_gaussiandist_8951676500103348342seed_6,58.83369364947487,0.9066251003120184,64.8930783288782,0.0
35,10d_18n_gaussiandist_4062182954294990048seed_11,69.41536873783531,0.9369805281651186,74.084110236283,0.0
36,10d_23n_gaussiandist_612657179318101728seed_8,81.37897747489174,0.9359403008546868,86.94889770274627,0.0
37,10d_24n_gaussiandist_3326124386779600665seed_17,83.10156194902996,0.8384172570222341,99.11718926704556,0.0
38,10d_25n_gaussiandist_7041512418121772436seed_13,94.3222277458442,0.9414097834487456,100.19252976138156,0.0
39,10d_27n_gaussiandist_8863403720638865750seed_8,95.85615230619132,0.906465976147391,105.7471045009252,0.0
40,10d_27n_gaussiandist_8224810051801399209seed_18,91.99219651551373,0.8687226782204198,105.8936284522466,0.0
41,10d_28n_gaussiandist_2942363936982763625seed_1,107.38612730967182,0.9471234218568152,113.38134485064644,0.0
42,10d_29n_gaussiandist_6885215162483208961seed_4,103.85465086013562,0.9115301411785652,113.93441222454422,0.0
43,10d_29n_gaussiandist_3487449469591925108seed_24,99.360031072093,0.9203688469895472,107.95675168394902,0.0
44,10d_30n_gaussiandist_2352388660177513068seed_6,124.41230467875886,0.9406963329559158,132.2555433886115,0.0
45,10d_30n_gaussiandist_4778396452721669940seed_8,113.41265463931929,0.947084847968606,119.74920186145631,0.0
46,11d_14n_gaussiandist_2814870713123170058seed_14,48.335224303699945,0.8874466102461401,54.46550107424919,0.0
47,11d_20n_gaussiandist_4689957548815269942seed_16,72.01755673715762,0.9083745812313668,79.28178333604697,0.0
48,11d_22n_gaussiandist_3998615042434324625seed_16,79.54162344744174,0.9100813134356872,87.40056770000115,0.0
