,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
58,8d_20n_bimodaldist_4252303837197157994seed_1,64.0,0.8888888888888888,72.0,0.0
59,8d_20n_bimodaldist_7766321239122150242seed_18,72.0,0.9,80.0,0.0
60,8d_20n_bimodaldist_1924968977696664901seed_23,72.0,0.9,80.0,0.0
61,8d_21n_bimodaldist_5202941992117340676seed_18,80.0,0.9090909090909092,88.0,0.0
62,8d_22n_bimodaldist_5023013954278197196seed_5,84.0,0.9130434782608696,92.0,0.0
63,8d_22n_bimodaldist_8469175638289390742seed_7,76.0,0.9047619047619048,84.0,0.0
64,8d_22n_bimodaldist_8977480690229455923seed_21,84.0,0.9130434782608696,92.0,0.0
65,8d_22n_bimodaldist_107564166721857945seed_22,76.0,0.9047619047619048,84.0,0.0
66,8d_23n_bimodaldist_4233682708048620876seed_12,84.0,0.9130434782608696,92.0,0.0
67,8d_23n_bimodaldist_6584155405453957515seed_24,84.0,0.9130434782608696,92.0,0.0
68,8d_24n_bimodaldist_8579579474746919700seed_5,84.0,0.84,100.0,0.0
69,8d_24n_bimodaldist_4872545337328464385seed_13,84.0,0.9130434782608696,92.0,0.0
70,8d_25n_bimodaldist_2505154353386404090seed_7,88.0,0.9166666666666666,96.0,0.0
71,8d_25n_bimodaldist_6006984878232754506seed_8,96.0,0.9230769230769232,104.0,0.0
72,8d_25n_bimodaldist_3036044009967186167seed_13,88.0,0.9166666666666666,96.0,0.0
73,8d_25n_bimodaldist_8015572013639215552seed_16,80.0,0.9090909090909092,88.0,0.0
74,8d_26n_bimodaldist_354957904989240253seed_3,92.0,0.8518518518518519,108.0,0.0
75,8d_26n_bimodaldist_7434512001195053106seed_9,92.0,0.92,100.0,0.0
76,8d_26n_bimodaldist_3382613324172352199seed_12,92.0,0.92,100.0,0.0
77,8d_26n_bimodaldist_6829596988724895292seed_13,100.0,0.925925925925926,108.0,0.0
78,8d_26n_bimodaldist_3040342893898460802seed_23,92.0,0.92,100.0,0.0
79,8d_26n_bimodaldist_2573949652243444131seed_24,100.0,0.925925925925926,108.0,0.0
80,8d_27n_bimodaldist_1006582144917375909seed_3,100.0,0.925925925925926,108.0,0.0
